Symbol,CompanyName,Industry,MarketCap
A,Agilent Technologies,Diagnostics & Research,37217066400
AA,Alcoa,Aluminum,4465369440
AACG,ATA Creativity Global,Education & Training Services,25415305
AACI,Armada Acquisition I,Shell Companies,99558202
AACT,Ares Acquisition Corporation II,Shell Companies,650000010
AADI,Aadi Bioscience,Biotechnology,121648464
AAIC,Arlington Asset Investment,REIT - Mortgage,133683144
AAL,American Airlines Group,Airlines,8992710400
AAMC,Altisource Asset Management,Asset Management,18381465
AAME,Atlantic American,Insurance - Life,38968393
AAN,The Aaron's Company,Rental & Leasing Services,316031306
AAOI,Applied Optoelectronics,Semiconductors,702203216
AAON,"AAON, Inc.",Building Products & Equipment,5308541505
AAP,Advance Auto Parts,Specialty Retail,3348177540
AAPL,Apple,Consumer Electronics,3.04384E+12
AAT,American Assets Trust,REIT - Diversified,1306186146
AAU,Almaden Minerals,Gold,19897045
AB,AllianceBernstein Holding L.P.,Asset Management,3354260910
ABAT,American Battery Technology Company,Other Industrial Metals & Mining,189827476
ABBV,AbbVie,Drug Manufacturers - General,2.6356E+11
ABCB,Ameris Bancorp,Banks - Regional,3245448512
ABCL,AbCellera Biologics,Biotechnology,1413127900
ABEO,Abeona Therapeutics,Biotechnology,118416374
ABEV,Ambev,Beverages - Brewers,45497101978
ABG,Asbury Automotive Group,Auto & Truck Dealerships,4428462254
ABIO,ARCA biopharma,Biotechnology,26082281
ABL,Abacus Life,Insurance - Life,401066016
ABLV,Able View,Advertising Agencies,26800869
ABM,ABM Industries,Specialty Business Services,2861791174
ABNB,Airbnb,Travel Services,61274018080
ABOS,Acumen Pharmaceuticals,Biotechnology,160412085
ABR,Arbor Realty Trust,REIT - Mortgage,2480613886
ABSI,Absci,Biotechnology,213758541
ABT,Abbott Laboratories,Medical Devices,1.81436E+11
ABTS,Abits Group,Advertising Agencies,37700000
ABUS,Arbutus Biopharma,Biotechnology,347128650
ABVC,ABVC BioPharma,Biotechnology,8606009
ABVX,Abivax,Biotechnology,659764354
AC,Associated Capital Group,Capital Markets,738867050
ACA,Arcosa,Infrastructure Operations,3792065200
ACAB,Atlantic Coastal Acquisition Corp. II,Shell Companies,116465109
ACAC,Acri Capital Acquisition,Shell Companies,59307837
ACAD,ACADIA Pharmaceuticals,Biotechnology,3444496400
ACAH,Atlantic Coastal Acquisition,Shell Companies,127897952
ACAX,Alset Capital Acquisition,Shell Companies,25967732
ACB,Aurora Cannabis,Drug Manufacturers - Specialty & Generic,218482407
ACBA,Ace Global Business Acquisition,Shell Companies,40316365
ACCD,Accolade,Health Information Services,712008748
ACCO,ACCO Brands,Business Equipment & Supplies,517345065
ACDC,ProFrac Holding,Oil & Gas Equipment & Services,1270418000
ACEL,Accel Entertainment,Gambling,860753454
ACET,Adicet Bio,Biotechnology,59567010
ACGL,Arch Capital Group,Insurance - Diversified,29592539600
ACHC,Acadia Healthcare Company,Medical Care Facilities,6755780790
